,latitud,provincia,altitud,indicativo,nombre,indsinop,longitud
0,413515N,BARCELONA,74,0252D,ARENYS DE MAR,08186,023224E
1,411734N,BARCELONA,4,0076,BARCELONA AEROPUERTO,08181,020412E
2,412506N,BARCELONA,408,0200E,"BARCELONA, FABRA",,020727E
3,412326N,BARCELONA,6,0201D,BARCELONA,08180,021200E
4,414312N,BARCELONA,291,0149X,MANRESA,08174,015025E
5,413125N,BARCELONA,146,0229I,SABADELL AEROPUERTO,08192,020611E
6,413903N,BARCELONA,40,0255B,SANTA SUSANNA,08188,024149E
7,415442N,GIRONA,143,0367,GIRONA AEROPUERTO,08184,024548E
8,415848N,GIRONA,95,0370B,"GIRONA, ANTIC INSTITUT",,024931E
9,420616N,GIRONA,157,0372C,PORQUERES,08120,024549E
10,421129N,GIRONA,675,0324A,RIPOLL,08118,021146E
11,410842N,TARRAGONA,71,0016A,REUS AEROPUERTO,08175,010949E
12,405729N,TARRAGONA,32,0002I,VANDELLÒS  ,08169,005217E
13,431825N,A CORUÑA,98,1387E,A CORUÑA AEROPUERTO,08002,082219W
14,432157N,A CORUÑA,58,1387,A CORUÑA,08001,082517W
15,430938N,A CORUÑA,50,1393,CABO VILÁN,08006,091239W
16,434710N,A CORUÑA,80,1351,ESTACA DE BARES,08004,074105W
17,425529N,A CORUÑA,230,1400,FISTERRA,08040,091729W
18,424314N,A CORUÑA,685,1437O,MONTE IROITE,08043,085524W
19,424418N,A CORUÑA,100,1473A,PADRÓN,08039,083738W
20,425317N,A CORUÑA,370,1428,SANTIAGO DE COMPOSTELA AEROPUERTO,08042,082438W
21,425234N,A CORUÑA,240,1475X,SANTIAGO DE COMPOSTELA,08041,083321W
22,433401N,ASTURIAS,127,1212E,ASTURIAS AEROPUERTO,08011,060239W
23,433409N,ASTURIAS,60,1283U,CABO BUSTO,08010,062812W
24,433921N,ASTURIAS,100,1210X,CABO PEÑAS,08012,055055W
25,433129N,ASTURIAS,40,1331A,CASTROPOL,08009,070153W
26,433123N,ASTURIAS,26,1207U,"GIJÓN, CAMPUS",08014,053716W
